Timestamp,Respondent_ID,OpenEndedQuestion1,OpenEndedQuestion2,LikertQuestion1,LikertQuestion2,LikertQuestion3
2023-01-01 00:00:00,1,It could use some improvements.,I might not buy this again.,4,5,2
2023-01-01 01:00:00,2,It could use some improvements.,Great customer support.,5,4,4
2023-01-01 02:00:00,3,I love this product.,Great customer support.,1,2,3
2023-01-01 03:00:00,4,It could use some improvements.,Needs better documentation.,2,2,1
2023-01-01 04:00:00,5,Not satisfied with the service.,Great customer support.,2,5,3
2023-01-01 05:00:00,6,It could use some improvements.,I would recommend this to others.,4,2,3
2023-01-01 06:00:00,7,It could use some improvements.,I might not buy this again.,5,4,2
2023-01-01 07:00:00,8,It could use some improvements.,I might not buy this again.,5,2,5
2023-01-01 08:00:00,9,I love this product.,I might not buy this again.,5,2,3
2023-01-01 09:00:00,10,It could use some improvements.,I would recommend this to others.,2,1,2
2023-01-01 10:00:00,11,Not satisfied with the service.,Needs better documentation.,3,1,1
2023-01-01 11:00:00,12,I love this product.,I would recommend this to others.,4,1,3
2023-01-01 12:00:00,13,Excellent value for money.,I would recommend this to others.,4,3,3
2023-01-01 13:00:00,14,Excellent value for money.,Needs better documentation.,5,3,3
2023-01-01 14:00:00,15,Not satisfied with the service.,Needs better documentation.,2,2,3
2023-01-01 15:00:00,16,It could use some improvements.,I might not buy this again.,3,2,1
2023-01-01 16:00:00,17,I love this product.,I might not buy this again.,4,3,1
2023-01-01 17:00:00,18,It could use some improvements.,Needs better documentation.,1,4,4
2023-01-01 18:00:00,19,It could use some improvements.,I would recommend this to others.,1,1,4
2023-01-01 19:00:00,20,It could use some improvements.,Needs better documentation.,1,5,4
2023-01-01 20:00:00,21,It could use some improvements.,Needs better documentation.,3,3,5
2023-01-01 21:00:00,22,It could use some improvements.,Great customer support.,2,2,5
2023-01-01 22:00:00,23,Not satisfied with the service.,I might not buy this again.,2,5,3
2023-01-01 23:00:00,24,Excellent value for money.,I would recommend this to others.,4,1,3
