Timestamp,Respondent_ID,OpenEndedQuestion1,OpenEndedQuestion2,LikertQuestion1,LikertQuestion2,LikertQuestion3
2023-01-01 00:00:00,1,I love this product.,I would recommend this to others.,4,4,5
2023-01-01 01:00:00,2,Not satisfied with the service.,I might not buy this again.,1,4,3
2023-01-01 02:00:00,3,I love this product.,Needs better documentation.,3,4,2
2023-01-01 03:00:00,4,I love this product.,I would recommend this to others.,4,1,3
2023-01-01 04:00:00,5,Not satisfied with the service.,Needs better documentation.,5,5,4
2023-01-01 05:00:00,6,Excellent value for money.,Needs better documentation.,2,1,5
2023-01-01 06:00:00,7,Excellent value for money.,I would recommend this to others.,3,4,4
2023-01-01 07:00:00,8,Excellent value for money.,I would recommend this to others.,5,5,2
2023-01-01 08:00:00,9,Excellent value for money.,I would recommend this to others.,2,5,1
2023-01-01 09:00:00,10,Not satisfied with the service.,I might not buy this again.,1,5,3
2023-01-01 10:00:00,11,Not satisfied with the service.,I would recommend this to others.,5,3,4
2023-01-01 11:00:00,12,I love this product.,Needs better documentation.,2,5,4
2023-01-01 12:00:00,13,Not satisfied with the service.,Great customer support.,4,1,2
2023-01-01 13:00:00,14,Not satisfied with the service.,Great customer support.,3,3,5
2023-01-01 14:00:00,15,Excellent value for money.,I would recommend this to others.,1,3,3
2023-01-01 15:00:00,16,Excellent value for money.,Great customer support.,2,1,1
2023-01-01 16:00:00,17,Not satisfied with the service.,I might not buy this again.,3,2,5
2023-01-01 17:00:00,18,I love this product.,Needs better documentation.,4,3,5
2023-01-01 18:00:00,19,I love this product.,Needs better documentation.,2,1,1
2023-01-01 19:00:00,20,Not satisfied with the service.,Needs better documentation.,4,2,3
2023-01-01 20:00:00,21,Not satisfied with the service.,Needs better documentation.,3,5,4
2023-01-01 21:00:00,22,Not satisfied with the service.,I might not buy this again.,5,1,2
2023-01-01 22:00:00,23,It could use some improvements.,I might not buy this again.,2,2,2
2023-01-01 23:00:00,24,Excellent value for money.,Needs better documentation.,5,3,3
2023-01-02 00:00:00,25,I love this product.,I would recommend this to others.,5,3,5
2023-01-02 01:00:00,26,It could use some improvements.,I would recommend this to others.,5,2,2
2023-01-02 02:00:00,27,Excellent value for money.,Needs better documentation.,2,2,3
2023-01-02 03:00:00,28,I love this product.,I would recommend this to others.,1,3,5
2023-01-02 04:00:00,29,I love this product.,Needs better documentation.,1,3,4
2023-01-02 05:00:00,30,Excellent value for money.,Great customer support.,3,4,2
2023-01-02 06:00:00,31,Excellent value for money.,Needs better documentation.,4,4,3
2023-01-02 07:00:00,32,It could use some improvements.,I would recommend this to others.,2,4,2
2023-01-02 08:00:00,33,It could use some improvements.,I might not buy this again.,2,1,2
2023-01-02 09:00:00,34,Excellent value for money.,I might not buy this again.,4,5,3
2023-01-02 10:00:00,35,Excellent value for money.,I might not buy this again.,2,1,4
2023-01-02 11:00:00,36,Not satisfied with the service.,Great customer support.,1,3,2
2023-01-02 12:00:00,37,It could use some improvements.,Great customer support.,1,3,2
2023-01-02 13:00:00,38,I love this product.,Needs better documentation.,1,1,5
2023-01-02 14:00:00,39,Excellent value for money.,I might not buy this again.,1,5,3
2023-01-02 15:00:00,40,It could use some improvements.,Needs better documentation.,1,2,1
2023-01-02 16:00:00,41,Excellent value for money.,I might not buy this again.,5,1,5
2023-01-02 17:00:00,42,It could use some improvements.,Needs better documentation.,1,3,5
2023-01-02 18:00:00,43,Not satisfied with the service.,Needs better documentation.,1,5,4
2023-01-02 19:00:00,44,It could use some improvements.,I would recommend this to others.,1,2,2
2023-01-02 20:00:00,45,Excellent value for money.,I would recommend this to others.,5,2,5
2023-01-02 21:00:00,46,Excellent value for money.,Needs better documentation.,5,2,5
2023-01-02 22:00:00,47,It could use some improvements.,Great customer support.,4,5,3
2023-01-02 23:00:00,48,Excellent value for money.,I might not buy this again.,5,4,2
2023-01-03 00:00:00,49,Not satisfied with the service.,Great customer support.,5,2,5
